Id,Label,timeset,username,category,post_activity,fan_count,talking_about_count,users_can_post,link,,,,
4.14915E+14,SaecsCSF,,SAECS.CSF,NonprofitOrganization,0,184,0,yes,https://www.facebook.com/SAECS.CSF/,,,,
3.6274E+14,"IngenieroenBionegocios,CampusLaguna",,,Education,0,191,2,yes,https://www.facebook.com/Ingeniero-en-Bionegocios-Campus-Laguna-362740057112733/,,,,
6.09569E+14,Boostart,,BoostartVentures,Organization,0,193,0,yes,https://www.facebook.com/BoostartVentures/,,,,
1.80256E+14,PasiónporlaLecturaCampusGuadalajara,,,Education,0,194,0,yes,https://www.facebook.com/Pasión-por-la-Lectura-Campus-Guadalajara-180256032046032/,,,,
4.91726E+14,iStoy,,iStoyMX,Camera/Photo,0,196,0,yes,https://www.facebook.com/iStoyMX/,,,,
5.50741E+14,SAIISITESMCVA,,SAIISCVA,School,0,196,1,yes,https://www.facebook.com/SAIISCVA/,,,,
1.68989E+15,FAMEAsciendeALaFama,,fameasciende,TheatricalPlay,0,203,0,yes,https://www.facebook.com/fameasciende/,,,,
1.74774E+14,PapásTECCampusSantaFe,,papastec,School,0,203,0,yes,https://www.facebook.com/papastec/,,,,
3.45687E+14,iTunesUTecnológicodeMonterrey,,iTunesUTecdeMty,Education,0,203,0,yes,https://www.facebook.com/iTunesUTecdeMty/,,,,
1.45713E+15,StudyinMexico-TecdeMonterrey,,StudyinMexico.TEC,Education,0,204,2,yes,https://www.facebook.com/StudyinMexico.TEC/,,,,
2.11887E+14,ExatecJalisco,,,Education,0,205,0,yes,https://www.facebook.com/Exatec-Jalisco-211886775494873/,,,,
1.08086E+14,Ameyalli,,,School,0,210,0,no,https://www.facebook.com/pages/Ameyalli/108085779226255,,,,
1.53393E+14,"ITIC,CampusHidalgo",,,NonprofitOrganization,0,215,0,yes,https://www.facebook.com/ITIC-Campus-Hidalgo-153393428030628/,,,,
3.36193E+14,AsesoríayConsejeríaTECCSF,,,Company,0,218,0,yes,https://www.facebook.com/Asesoría-y-Consejería-TEC-CSF-336192993148302/,,,,
1.85297E+14,SAARQCampusHidalgo,,,College&University,0,221,0,yes,https://www.facebook.com/SAARQ-Campus-Hidalgo-185297444827402/,,,,
1.66604E+15,LiaisonPublicdeMonterrey,,,Region,0.04,223,20,yes,https://www.facebook.com/Liaison-Public-de-Monterrey-1666038917015964/,,,,
8.11228E+14,VórticeMoveOn,,,NonprofitOrganization,0,225,2,yes,https://www.facebook.com/Vórtice-Move-On-811228178928261/,,,,
5.60093E+14,AnimaciónyArteDigitalCSF,,LAD.CSF,Education,0,226,0,yes,https://www.facebook.com/LAD.CSF/,,,,
1.14771E+14,DifusiónCulturalCDJ,,,Organization,0,233,0,yes,https://www.facebook.com/Difusión-Cultural-CDJ-114770718535802/,,,,
1.54986E+14,SocialMediaClubMéxicoStartups,,smcmxStartups,Organization,0,233,0,yes,https://www.facebook.com/smcmxStartups/,,,,
3.47738E+14,BusinessEntrepreneurs,,Bachelors.International.Excellence.Group.BE,College&University,0,234,0,yes,https://www.facebook.com/Bachelors.International.Excellence.Group.BE/,,,,
2.14306E+14,AnimaciónCampusLaguna,,AnimacionLaguna,Community,0,236,1,yes,https://www.facebook.com/AnimacionLaguna/,,,,
1.06399E+14,ITESMCampusCiudadObregón,,,School,0,236,0,no,https://www.facebook.com/pages/ITESM-Campus-Ciudad-Obreg%C3%B3n/106399362728887,,,,
2.00585E+14,UnitedNationsConferences-TecnológicodeMonterrey2016,,unctec2016,Organization,0,236,1,yes,https://www.facebook.com/unctec2016/,,,,
2.64776E+14,DepartamentodeFilosofíayÉticaTecdeMonterrey,,DFETECMTY,School,0,236,0,yes,https://www.facebook.com/DFETECMTY/,,,,
6.85386E+14,ServicioSocialITESMMorelia,,ITESMMorelia.FS,CommunityOrganization,0,238,0,yes,https://www.facebook.com/ITESMMorelia.FS/,,,,
